attendance,assignment_score,midterm_score,study_hours,previous_grade,quiz_scores,participation,sleep_hours,performance_trend,attendance_rate,score_avg,study_sleep_ratio,risk_label
0.807829181494662,0.97,0.6848072562358277,0.5394736842105262,0.5712328767123287,0.5398843930635838,0.7905263157894735,0.5333333333333332,0.6517241379310346,0.8078291814946619,0.7830045523520488,0.5689655172413793,0
0.7034400948991697,0.611111111111111,0.5192743764172336,0.14473684210526316,0.5027397260273974,0.35722543352601155,0.18842105263157893,0.46666666666666656,0.5413793103448277,0.7034400948991697,0.41729893778452215,0.16379310344827588,1
0.6998813760379597,0.9522222222222223,0.8083900226757369,0.9342105263157894,0.6835616438356165,0.7086705202312138,0.7010526315789474,0.5499999999999998,0.6827586206896552,0.6998813760379596,0.8801213960546286,0.9741379310344828,0
0.33926453143534996,0.42111111111111116,0.28798185941043086,0.2763157894736842,0.24931506849315072,0.3260115606936417,0.37473684210526315,0.5499999999999998,0.5195402298850575,0.33926453143534996,0.26707132018209406,0.28448275862068967,1
0.43772241992882566,0.3711111111111111,0.2811791383219955,0.3157894736842105,0.2712328767123287,0.47861271676300576,0.6273684210526316,0.5333333333333332,0.49425287356321845,0.43772241992882566,0.33383915022761773,0.3362068965517242,1
0.9228944246737842,0.7911111111111111,0.671201814058957,0.6578947368421052,0.821917808219178,0.6566473988439305,0.8189473684210526,0.5999999999999999,0.4275862068965518,0.9228944246737842,0.7374810318664644,0.6551724137931035,0
0.7093712930011863,0.69,0.4852607709750567,0.6842105263157895,0.5657534246575342,0.8208092485549132,0.7494736842105263,0.7,0.4540229885057472,0.7093712930011863,0.7754172989377848,0.6206896551724138,0
0.5705812574139977,0.5066666666666667,0.6031746031746031,0.2763157894736842,0.26986301369863014,0.4497109826589595,0.2494736842105263,0.3666666666666667,0.8218390804597702,0.5705812574139977,0.4066767830045524,0.3448275862068966,1
0.5302491103202848,0.5377777777777777,0.5521541950113379,0.23684210526315788,0.2397260273972603,0.34913294797687866,0.39999999999999997,0.5833333333333333,0.7954022988505748,0.5302491103202847,0.36115326251896823,0.24137931034482762,1
0.7485172004744959,0.6466666666666667,0.7732426303854876,0.381578947368421,0.6589041095890411,0.715606936416185,0.5852631578947369,0.75,0.667816091954023,0.7485172004744959,0.6767830045523522,0.3362068965517242,0
0.5622775800711745,0.3922222222222222,0.2335600907029478,0.13157894736842105,0.5205479452054795,0.46705202312138727,0.3094736842105263,0.25,0.23678160919540236,0.5622775800711745,0.33990895295902895,0.18965517241379312,1
0.8469750889679715,0.6188888888888889,0.8083900226757369,0.513157894736842,0.6602739726027398,0.7583815028901734,0.7221052631578946,0.8166666666666667,0.7022988505747128,0.8469750889679715,0.6858877086494692,0.4224137931034483,0
0.6856465005931198,0.5,0.590702947845805,0.43421052631578944,0.5808219178082192,0.5745664739884393,0.8736842105263158,0.8833333333333333,0.5482758620689656,0.6856465005931198,0.4840667678300456,0.3448275862068966,0
0.3226571767497035,0.5255555555555556,0.6031746031746031,0.35526315789473684,0.43424657534246575,0.4312138728323699,0.3294736842105263,0.5166666666666666,0.6839080459770116,0.3226571767497035,0.4066767830045524,0.37931034482758624,1
0.8600237247924081,0.8055555555555556,0.5600907029478458,0.30263157894736836,0.38356164383561636,0.7641618497109826,0.7915789473684212,0.7,0.6827586206896552,0.8600237247924081,0.8163884673748105,0.2758620689655173,0
